Front,Back,Chapter,Tags
"Service Pistol","Primary on-duty firearm","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Off-Duty Pistol/Revolver","Authorized secondary firearm; may be carried in addition to service pistol on duty (not visible)","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Special Weapons","Require CO permission before carrying on duty (see A.G. 305-11)","Uniforms and Equipment",key_terms 305_uniforms_equipment
"FORCE RECORD (PD406-143)","Record of all revolvers/pistols owned, permitted modifications","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Tritium Night Sights","Green night sights required on service pistols (optional for pre-9/12/94 members and off-duty pistols)","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Firearms Safety Station","Used when loading/unloading firearms","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Requirement","Detail","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Retention","Reliable retention device other than friction alone","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Coverage","Must cover trigger guard, muzzle, and front sight","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Inside-waistband","Must have reinforced mouth for one-handed re-holstering","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Prohibited types","""One size fits all,"" ""clip-on,"" ""belly band""","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Eligible items","Uniforms/equipment damaged/lost in performance of duty; personal clothing/eyeglasses during extraordinary police action","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Filing deadline","30 days from incident","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Settlement deadline","180 days from approval","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Direct forwarding","Cost < $100","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Through channels","Cost ≥ $100","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Personal articles NOT reimbursed","Jewelry, rings, bracelets (watches excepted at $75 max)","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Item","Timeframe","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Report for lost/damaged uniform","Within 30 days","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Settlement execution","Within 180 days of approval","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Vest return if it does not fit","Within 2 days","Uniforms and Equipment",key_terms 305_uniforms_equipment
"BWC","Body Worn Camera — carried when issued, requires Department training","Uniforms and Equipment",key_terms 305_uniforms_equipment
"CEW","Conducted Electrical Weapon (Taser) — carried on support side if assigned and trained","Uniforms and Equipment",key_terms 305_uniforms_equipment
"OC Spray","Oleoresin Capsicum pepper spray device — carried on support side, opposite firearm","Uniforms and Equipment",key_terms 305_uniforms_equipment
"RTKBCs","Right To Know Business Cards — carried on person in appropriate amounts","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Color of the Day","Head/arm band carried by civilian clothes enforcement members (not undercovers)","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Support Side","Non-shooting side of the duty belt (items 1-5)","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Strong Side","Shooting/gun side of the duty belt (items 6-10)","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Double Magazine Pouch","Flap and snap closure, black, affixed vertically; holds 2 extra magazines (15 rounds each)","Uniforms and Equipment",key_terms 305_uniforms_equipment
"ES Spec #","Equipment Section Specification Number — label inside authorized nylon duty belts","Uniforms and Equipment",key_terms 305_uniforms_equipment
"The 32 Club","Four items authorized when temp drops below 32 degrees: Balaclava, Winter Knit Hat (both require Duty Jacket), Winter Hat, and Earmuffs","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Point Blank Enterprises Inc.","Sole authorized manufacturer of uniform shirt style outer vest covers","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Outer Vest Cover","Uniform shirt style cover for body armor; must match uniform shirt color (blue or white); worn as outermost garment","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Nylon Windbreaker","Specialized unit jacket; 1"" reflective tape divides front and back; ""POLICE"" on front, ""NYPD"" and ""POLICE"" on rear","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Service Stripes (Hash Marks)","Each mark = 5 years; left sleeve only; Lt, Sgt, Det, P.O. only; may wear 6 months early","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Collar Brass","Yellow metal insignia on both sides of collar (except raincoat); 1"" from forward edge on shirt, 1-1/4"" on Summer Blouse","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Longevity Bar","Worn over right breast pocket by UMOS below Captain in short sleeves (no 6-month early rule like hash marks)","Uniforms and Equipment",key_terms 305_uniforms_equipment
"WTC Memorial Breast Bar","Worn above all bars except US Flag; does NOT require being on the job during 9/11","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Firearms Proficiency Bar","Bottom-most bar; requires 100% at range; removed if not repeated; no promotional points","Uniforms and Equipment",key_terms 305_uniforms_equipment
"EPD","Excellent Police Duty — breast bar with numeral for multiples; max 2 bars","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Gold Leaf","Signifies a 2nd Medal of Honor, Combat Cross, or Medal for Valor on the same bar","Uniforms and Equipment",key_terms 305_uniforms_equipment
"NCO Breast Bar","Worn above shield, immediately below Unit Citation or individual recognition awards (per P.G. 202-11)","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Mourning Band","Black, 1/2"" wide; covers seal of the city (NOT shield # or rank)","Uniforms and Equipment",key_terms 305_uniforms_equipment
"CMOS Mourning Pin","Worn on left lapel by civilian members (who have no shield) per A.G. 305-14","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Police Memorial Day","Mourning band mandatory if attending services at 1PP in uniform; optional for all others","Uniforms and Equipment",key_terms 305_uniforms_equipment
"National P.O.'s Memorial Day","Every May 15th — mourning band optional for all","Uniforms and Equipment",key_terms 305_uniforms_equipment
"NIJ","National Institute of Justice — certifies protective vest threat levels","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Threat Level III+","Minimum required vest level (must EXCEED Level II)","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Zylon","Vest material that is specifically NOT authorized","Uniforms and Equipment",key_terms 305_uniforms_equipment
"PA Vest Unit","Police Academy Vest Unit — inspects vests, provides guidance on serviceability","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Typed Letterhead (49)","Report format used when presenting unserviceable vest to PA Vest Unit","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Mnemonic","Meaning","Uniforms and Equipment",key_terms 305_uniforms_equipment
"A FAVOR","When to be unarmed off duty: Alcohol, Family/Supreme Court Matrimonial, Advisable not to carry, Vacation, Off-Duty Employment, Risk of Loss/Theft","Uniforms and Equipment",key_terms 305_uniforms_equipment
"By The Numbers (305)","1/4"" (shield-to-bar distance, fingernail length), 1/2"" (mourning band, cop's braid, facial hair), 1"" (windbreaker tape, collar brass on shirt), 1-1/4"" (boss's braid, collar brass on Summer Blouse), 3"" (min sock height Transit), 5"" (max sock height Transit)","Uniforms and Equipment",key_terms 305_uniforms_equipment
"Intoxication","Unfitness for duty due to influence of alcohol, narcotics, or other drug, or circumstances indicating member may have been intoxicated during earlier period related to the incident","Disciplinary Matters",key_terms 318_disciplinary_matters
"Form","Used For","Disciplinary Matters",key_terms 318_disciplinary_matters
"SUPERVISOR'S FITNESS FOR DUTY REPORT (PD469-150)","Prepared by both referring supervisor AND CO/XO/duty captain based on observations","Disciplinary Matters",key_terms 318_disciplinary_matters
"NOTIFICATION OF ALLEGATION(S) AND EMPLOYEE'S RIGHTS (PD339-121)","Provided to member prior to interrogation for review and endorsement","Disciplinary Matters",key_terms 318_disciplinary_matters
"CHARGES AND SPECIFICATIONS (PD468-121)","Formal disciplinary charges served on member","Disciplinary Matters",key_terms 318_disciplinary_matters
"Right","Detail","Disciplinary Matters",key_terms 318_disciplinary_matters
"PD339-121","Must be provided before questioning","Disciplinary Matters",key_terms 318_disciplinary_matters
"Counsel","Permitted for serious violations or sufficient justification","Disciplinary Matters",key_terms 318_disciplinary_matters
"BWC Review","Member may view own BWC recording related to incident prior to questioning","Disciplinary Matters",key_terms 318_disciplinary_matters
"Line Organization","Representative present at all times during interrogation","Disciplinary Matters",key_terms 318_disciplinary_matters
"Reasonable Time","Captain or above determines what constitutes ""reasonable time"" for counsel","Disciplinary Matters",key_terms 318_disciplinary_matters
"Item","Timeframe","Disciplinary Matters",key_terms 318_disciplinary_matters
"Post-charge interrogation completion","At least 10 days before Department trial","Disciplinary Matters",key_terms 318_disciplinary_matters
"Tape provided after charge service","Within 20 days","Disciplinary Matters",key_terms 318_disciplinary_matters
"Tape provided after post-charge interrogation","Within 5 days","Disciplinary Matters",key_terms 318_disciplinary_matters
"Transcript to member","By 1000 hours on trial date","Disciplinary Matters",key_terms 318_disciplinary_matters
"Recipient","Method","Disciplinary Matters",key_terms 318_disciplinary_matters
"First Deputy Commissioner","Original (DIRECT) + Through channels","Disciplinary Matters",key_terms 318_disciplinary_matters
"Chief of Department","DIRECT","Disciplinary Matters",key_terms 318_disciplinary_matters
"Chief of Personnel","DIRECT","Disciplinary Matters",key_terms 318_disciplinary_matters
"Chief of Internal Affairs","DIRECT","Disciplinary Matters",key_terms 318_disciplinary_matters
"Deputy Commissioner, Trials","DIRECT","Disciplinary Matters",key_terms 318_disciplinary_matters
"Department Advocate's Office","DIRECT","Disciplinary Matters",key_terms 318_disciplinary_matters
"Member's CO","DIRECT","Disciplinary Matters",key_terms 318_disciplinary_matters
"Type","Issued By","Disciplinary Matters",key_terms 318_disciplinary_matters
"Schedule ""A""","CO/XO","Disciplinary Matters",key_terms 318_disciplinary_matters
"Schedule ""B""","CO/XO","Disciplinary Matters",key_terms 318_disciplinary_matters
"Schedule ""C""","Department Advocate only","Disciplinary Matters",key_terms 318_disciplinary_matters
"Letter","Meaning","Disciplinary Matters",key_terms 318_disciplinary_matters
"F","FADO (Force, Abuse of authority, Discourtesy, Offensive Language)","Disciplinary Matters",key_terms 318_disciplinary_matters
"O","Other appropriate by CO/XO (after notifying Adjutant and consulting Advocate)","Disciplinary Matters",key_terms 318_disciplinary_matters
"U","Unauthorized use of a Department Vehicle","Disciplinary Matters",key_terms 318_disciplinary_matters
"L","Loss of Shield, Activity Log, or Department property","Disciplinary Matters",key_terms 318_disciplinary_matters
"F","Failure to give name and shield to person requesting","Disciplinary Matters",key_terms 318_disciplinary_matters
"R","Radio: fail to respond, acknowledge, give disposition, or unauthorized transmission","Disciplinary Matters",key_terms 318_disciplinary_matters
"A","Alcohol in dept. facility or vehicle unless within scope of assignment","Disciplinary Matters",key_terms 318_disciplinary_matters
"P","Prisoner — failure to safeguard","Disciplinary Matters",key_terms 318_disciplinary_matters
"Letter","Meaning","Disciplinary Matters",key_terms 318_disciplinary_matters
"A","Arrest for PL crime (Misd or Fel) or DWI (VTL 1192 subs 2-4a)","Disciplinary Matters",key_terms 318_disciplinary_matters
"D","Dole Test — Refuse to take","Disciplinary Matters",key_terms 318_disciplinary_matters
"O","Order — Refuse a lawful order","Disciplinary Matters",key_terms 318_disciplinary_matters
"G","G.O. 15 — Refuse to answer","Disciplinary Matters",key_terms 318_disciplinary_matters
"C","Club — Patronize a ""Good Ass Club"" (G.D.A.S.S.: Gambling, Drugs, After hours, Social club, Smoke)","Disciplinary Matters",key_terms 318_disciplinary_matters
"A","AWOL — 5 consecutive tours","Disciplinary Matters",key_terms 318_disciplinary_matters
"R","Roll Call / during the tour — Refuse assignment","Disciplinary Matters",key_terms 318_disciplinary_matters
"Actor","Authority Level","Disciplinary Matters",key_terms 318_disciplinary_matters
"Uniformed Sergeant (or above)","Must suspend","Disciplinary Matters",key_terms 318_disciplinary_matters
"TM/SSDD","Authorized to suspend","Disciplinary Matters",key_terms 318_disciplinary_matters
"Option","Result","Disciplinary Matters",key_terms 318_disciplinary_matters
"Accept both finding and penalty","Adjudicated at command level","Disciplinary Matters",key_terms 318_disciplinary_matters
"Accept finding but not penalty","CD Review Panel decides","Disciplinary Matters",key_terms 318_disciplinary_matters
"Accept neither — opt for Charges","Goes to Department Advocate","Disciplinary Matters",key_terms 318_disciplinary_matters
"CD Type","Time","Disciplinary Matters",key_terms 318_disciplinary_matters
"Unsubstantiated (A or B)","1 year","Disciplinary Matters",key_terms 318_disciplinary_matters
"Schedule ""A""","1 year","Disciplinary Matters",key_terms 318_disciplinary_matters
"Schedule ""B"" (sealing)","3 years","Disciplinary Matters",key_terms 318_disciplinary_matters
"Item","Timeframe","Disciplinary Matters",key_terms 318_disciplinary_matters
"Member election of CD option","3 working days from CO/XO's decision","Disciplinary Matters",key_terms 318_disciplinary_matters
"CD adjudication deadline","60 days from issuance","Disciplinary Matters",key_terms 318_disciplinary_matters
"Citywide system entry (issuance)","5 working days from issuance","Disciplinary Matters",key_terms 318_disciplinary_matters
"Citywide system entry (adjudication)","5 working days from adjudication","Disciplinary Matters",key_terms 318_disciplinary_matters
"CO sign-off on Citywide entries","5 working days from completion of adjudication entries","Disciplinary Matters",key_terms 318_disciplinary_matters
"49 to Chief of Dept (arrested MOS)","24 hours","Disciplinary Matters",key_terms 318_disciplinary_matters
"MOS updates CO on case status","Every 30 days","Disciplinary Matters",key_terms 318_disciplinary_matters
"Question Type","Who to Ask","Disciplinary Matters",key_terms 318_disciplinary_matters
"Questions on Law","Legal Bureau","Disciplinary Matters",key_terms 318_disciplinary_matters
"Questions on Procedure","Department Advocate","Disciplinary Matters",key_terms 318_disciplinary_matters
"Form","Purpose","Civilian Personnel",key_terms 319_civilian_personnel
"Employee Statement Form (FISA WCS-110)","Civilian member's statement of injury","Civilian Personnel",key_terms 319_civilian_personnel
"Supervisor's/Agency Form - Report of Injury (FISA WCS-100)","Supervisor's report of civilian injury","Civilian Personnel",key_terms 319_civilian_personnel
"Witness Statement Form (FISA WCS-120)","Witness account of civilian injury","Civilian Personnel",key_terms 319_civilian_personnel
"Employee Option Form (DP2002)","Civilian member's option selection","Civilian Personnel",key_terms 319_civilian_personnel
"Time Usage 49","Time Used Due to Job Injury - Workers Compensation","Civilian Personnel",key_terms 319_civilian_personnel
"Item","Timeframe","Civilian Personnel",key_terms 319_civilian_personnel
"Civilian member reports injury","No later than 7 days after incident","Civilian Personnel",key_terms 319_civilian_personnel
"Supervisor notifies Civilian Employee Services Unit","Immediately (business hours) or 0900 following business day","Civilian Personnel",key_terms 319_civilian_personnel
"Forward copies to Civilian Employee Services Unit","Within 24 hours of notification","Civilian Personnel",key_terms 319_civilian_personnel
"Authority","Action","Civilian Personnel",key_terms 319_civilian_personnel
"Chief of Personnel","Empowered to grant leave with pay for first week's absence (Workers Compensation, disabled in line of duty)","Civilian Personnel",key_terms 319_civilian_personnel
"Exchange of Tour","Voluntary performance of another MOS's tour; also known as a ""mutual""","Personnel Matters — General",key_terms 320_personnel_matters
"FLSA Cycle","28-day Fair Labor Standards Act work cycle","Personnel Matters — General",key_terms 320_personnel_matters
"Personal Folder","11"" x 14"" folder inscribed with name, tax registry, shield, date of appointment","Personnel Matters — General",key_terms 320_personnel_matters
"Time Record Folder (TRF)","Separate folder for overtime reports — NOT in personal folder","Personnel Matters — General",key_terms 320_personnel_matters
"Number","What It Means","Personnel Matters — General",key_terms 320_personnel_matters
"5 days","Minimum advance submission for Exchange of Tour Request","Personnel Matters — General",key_terms 320_personnel_matters
"7 days","Minimum advance notice for off-duty correctional facility visit","Personnel Matters — General",key_terms 320_personnel_matters
"24 hours","Department can reschedule any same-rank MOS without this notice if mutual fails","Personnel Matters — General",key_terms 320_personnel_matters
"28 days","FLSA cycle — mutuals must be within the same cycle","Personnel Matters — General",key_terms 320_personnel_matters
"6 months","Reports older than this are purged from personal folder","Personnel Matters — General",key_terms 320_personnel_matters
"Jan 1 / Jul 1","Dates when old reports are purged from personal folders","Personnel Matters — General",key_terms 320_personnel_matters
"Requirement","Detail","Personnel Matters — General",key_terms 320_personnel_matters
"Rank","Same rank, below captain","Personnel Matters — General",key_terms 320_personnel_matters
"Assignment","Same command","Personnel Matters — General",key_terms 320_personnel_matters
"Qualification","Must be qualified to perform each other's duties","Personnel Matters — General",key_terms 320_personnel_matters
"Timing","Within same 28-day FLSA cycle","Personnel Matters — General",key_terms 320_personnel_matters
"Consecutive tours","NOT permitted (no 3rd platoon followed by 1st platoon)","Personnel Matters — General",key_terms 320_personnel_matters
"Sick reporting","Must report Regular Sick (not Administrative Sick); requires Dept surgeon visit","Personnel Matters — General",key_terms 320_personnel_matters
"Overtime","No FLSA or contractual overtime generated","Personnel Matters — General",key_terms 320_personnel_matters
"Form","PD433-160 (Exchange of Tour Request)","Personnel Matters — General",key_terms 320_personnel_matters
"Form Number","Name","Personnel Matters — General",key_terms 320_personnel_matters
"PD433-160","Exchange of Tour Request","Personnel Matters — General",key_terms 320_personnel_matters
"PD406-143","Force Record","Personnel Matters — General",key_terms 320_personnel_matters
"PD406-143a","Force Record Supplement","Personnel Matters — General",key_terms 320_personnel_matters
"PD446-141","Source Document for Personnel Data Card","Personnel Matters — General",key_terms 320_personnel_matters
"PD138-061","Employee's Withholding Exemption Certificate","Personnel Matters — General",key_terms 320_personnel_matters
"PD429-122A","Sick Report Worksheet","Personnel Matters — General",key_terms 320_personnel_matters
"PD429-131","Sick Report Return","Personnel Matters — General",key_terms 320_personnel_matters
"PD468-123","Supervisor's Complaint Report/Command Discipline Election Report","Personnel Matters — General",key_terms 320_personnel_matters
"PD120-060","Annual Uniform & Equipment Inspection Checklist","Personnel Matters — General",key_terms 320_personnel_matters
"PD449-151","Personnel Records Transmittal","Personnel Matters — General",key_terms 320_personnel_matters
"PD439-142","Individual Conduct Summary","Personnel Matters — General",key_terms 320_personnel_matters
"PD138-064","Overtime Report","Personnel Matters — General",key_terms 320_personnel_matters
"Step","Who","Personnel Matters — General",key_terms 320_personnel_matters
"1","MOS","Personnel Matters — General",key_terms 320_personnel_matters
"2","CO","Personnel Matters — General",key_terms 320_personnel_matters
"3","CO","Personnel Matters — General",key_terms 320_personnel_matters
"4","CO","Personnel Matters — General",key_terms 320_personnel_matters
"5","CO","Personnel Matters — General",key_terms 320_personnel_matters
"AWOL","Absent Without Official Leave — member fails to report for duty without authorization","Leave, Payroll & Timekeeping",key_terms 324_leave_payroll_timekeeping
"2-Hour AWOL","First threshold at beginning of tour; Desk Officer makes telephone inquiries and responds to member's residence","Leave, Payroll & Timekeeping",key_terms 324_leave_payroll_timekeeping
"4-Hour AWOL","Escalation threshold; notifications expand to C.O./Duty Captain, Boro, Operations, and IAB Command Center","Leave, Payroll & Timekeeping",key_terms 324_leave_payroll_timekeeping
"Entire Tour AWOL","Member absent for full tour; cannot return to duty without prior permission of Chief of Department","Leave, Payroll & Timekeeping",key_terms 324_leave_payroll_timekeeping
"ICCU","Inter-City Correspondence Unit — contacted to notify local PD when member's residence is outside the city","Leave, Payroll & Timekeeping",key_terms 324_leave_payroll_timekeeping
"Role","AWOL Responsibility","Leave, Payroll & Timekeeping",key_terms 324_leave_payroll_timekeeping
"Desk Officer","Makes all initial inquiries at 2 hours; escalates notifications at 4 hours","Leave, Payroll & Timekeeping",key_terms 324_leave_payroll_timekeeping
"C.O. / Duty Captain","Conducts immediate investigation at 4 hours; interviews member when located","Leave, Payroll & Timekeeping",key_terms 324_leave_payroll_timekeeping
"IAB Command Center","Notified at 4-hour mark and when member is located","Leave, Payroll & Timekeeping",key_terms 324_leave_payroll_timekeeping
"Sick Desk Supervisor","Notified when AWOL member is located","Leave, Payroll & Timekeeping",key_terms 324_leave_payroll_timekeeping
"Chief of Department","Receives Typed Letterhead (49) report; must authorize return to duty after entire-tour AWOL","Leave, Payroll & Timekeeping",key_terms 324_leave_payroll_timekeeping
"Item","Timeframe","Leave, Payroll & Timekeeping",key_terms 324_leave_payroll_timekeeping
"AWOL threshold — D.O. inquiries begin","2 hours after beginning of tour","Leave, Payroll & Timekeeping",key_terms 324_leave_payroll_timekeeping
"AWOL threshold — major notifications","4 hours after start of tour","Leave, Payroll & Timekeeping",key_terms 324_leave_payroll_timekeeping
"Report to Chief of Department","Typed Letterhead (49) with results and action taken","Leave, Payroll & Timekeeping",key_terms 324_leave_payroll_timekeeping
"Report","Purpose","Leave, Payroll & Timekeeping",key_terms 324_leave_payroll_timekeeping
"Typed Letterhead (49)","To Chief of Department — results and action taken or contemplated","Leave, Payroll & Timekeeping",key_terms 324_leave_payroll_timekeeping
"Supplemental Report (49)","When member is located — facts and discipline not previously reported","Leave, Payroll & Timekeeping",key_terms 324_leave_payroll_timekeeping
"Command Log","Entry of facts, notifications, and investigation results","Leave, Payroll & Timekeeping",key_terms 324_leave_payroll_timekeeping
"Applies To","Does NOT Apply To","Leave, Payroll & Timekeeping",key_terms 324_leave_payroll_timekeeping
"Uniformed Members of the Service (UMOS)","Civilian Members of the Service (CMOS)","Leave, Payroll & Timekeeping",key_terms 324_leave_payroll_timekeeping
"LEOSA Certification Card","Wallet-sized card exempting retired LEOs from local/state concealed carry prohibitions; must accompany retired ID card","Career Development",key_terms 329_career_development
"Vested Interest","Discontinuance of police service with pension benefit eligibility but not full retirement","Career Development",key_terms 329_career_development
"Resignation","Voluntary separation other than retirement/vested interest","Career Development",key_terms 329_career_development
"Dismissal Probation","Period included in negotiated penalties for alcohol-related motor vehicle incidents","Career Development",key_terms 329_career_development
"NICS Check","National Instant Criminal Background Check — required to retain post-1/15/13 Department-issued firearms","Career Development",key_terms 329_career_development
"Form","Purpose","Career Development",key_terms 329_career_development
"PROPERTY RECEIPT - DISCONTINUANCE OF SERVICE (PD520-013)","Property return documentation for retiring/resigning members","Career Development",key_terms 329_career_development
"PENSION APPLICATION (PD440-045)","Grants terminal leave","Career Development",key_terms 329_career_development
"RESIGNATION AND EXIT INTERVIEW (PD452-151)","Completed and signed by resigning member","Career Development",key_terms 329_career_development
"PROPERTY CLERK INVOICE (PD521-141)","Lists firearms safeguarded","Career Development",key_terms 329_career_development
"ACQUISITION OR DISPOSITION OF FIREARMS (PD424-150)","Report to NY State Police for each firearm","Career Development",key_terms 329_career_development
"HANDGUN LICENSE APPLICATION (PD643-041)","Typed and notarized; for NYC residents applying for handgun license upon retirement","Career Development",key_terms 329_career_development
"Item","Timeframe","Career Development",key_terms 329_career_development
"Tier 2 reporting to PPF","At least 30 calendar days in advance","Career Development",key_terms 329_career_development
"Tier 3 reporting to PPF","May report without notice","Career Development",key_terms 329_career_development
"LEOSA card expiration","12 months from last range requalification","Career Development",key_terms 329_career_development
"NICS check","Within 30 days prior to separation","Career Development",key_terms 329_career_development
"RESIGNATION AND EXIT INTERVIEW distribution","Within 5 business days","Career Development",key_terms 329_career_development
"Reinstatement after resignation","Only by Police Commissioner within 1 year","Career Development",key_terms 329_career_development
"Tier 2 mandatory retirement age","63","Career Development",key_terms 329_career_development
"Tier 3 mandatory retirement age","62","Career Development",key_terms 329_career_development
"Tier 3 retired ID/LEOSA issuance","30 days after discontinuance","Career Development",key_terms 329_career_development
"Investigating Supervisor","Sergeant or above from injured member's command; if unavailable, from precinct of occurrence","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Out of City LOD","Investigating supervisor must be captain or above","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Line of Duty Injury Report","Prepared via LOD Injury Reporting System (intranet or smartphone)","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"FECA","Federal Employees Compensation Act — benefits when Federal statute violated during apprehension","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Trauma Counseling Team","Staffed by Chief Surgeon, Director of Behavioral Care and Support Section, and licensed professionals of Medical Division","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Behavioral Care and Support Section","Location for 48-hour follow-up meeting","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"POPPA","Police Organization Providing Peer Assistance — separate from Trauma Counseling","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Employee Assistance Programs","Multiple programs available; Trauma Counseling does not prevent voluntary use of any","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Infectious Disease","Diseases transmitted by contact with blood, body fluids, animal saliva, or CNS tissue","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Hazardous Material","Any chemical, biological, or radiological health hazard","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Universal Precautions","Treat all blood and body fluids as infectious for HIV, HBV, and other bloodborne pathogens","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Designated Officer","Individual designated under Ryan White Act (42 U.S.C. 300ff-86) for exposure determinations","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Form","Purpose","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"WITNESS STATEMENT - INJURY TO MEMBER (PD429-065)","Non-Department witness statement for LOD injury","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Police Accident Report (MV104AN)","If vehicle collision involved in LOD injury","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"AIDED REPORT (PD304-152)","If no vehicle involved in LOD injury","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"UNUSUAL OCCURRENCE REPORT (PD370-152)","For LOD death/serious injury; also for Trauma Counseling incidents","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"SCOC M187","Report of Inmate Death to NYS Commission of Correction","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Biohazard Label","Affixed to contaminated property, evidence, or waste","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Item","Timeframe","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"LOD Injury Report sign-off by investigating supervisor","Before end of tour","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Trauma Counseling follow-up meeting","48 hours after event","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Additional trauma counseling sessions","1 to 6 weeks after incident","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"FECA documentation forwarding","Within 90 days of occurrence","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Delayed LOD designation report","Within 60 days (then every 60 days)","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Exposure report number","Obtained via LOD Injury Reporting System","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Rule","Detail","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Ratio","1 part bleach : 10 parts water","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Preparation","FRESHLY MIXED for each use","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Do NOT mix with","Any solution other than water","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Do NOT use on","Uniforms (causes damage) or hands","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Disposal","In sink only (not urinal/toilet — chemical deodorizers cause toxic gas)","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Regular Sick","Member not eligible for or declines Admin Sick; requires visit to Department Surgeon","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"District Surgeon","Report at next office hours; 5 exceptions (Chronic B, Fri/Sat, unable to travel, dental, Medical Division directs)","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Sick Serial Number","Obtained from Sick Desk; the ONLY item UMOS passes to D.O.","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Absence Control and Investigations Unit","Medical Division unit notified by D.O. when malingering is suspected","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Sick Reporting System","Queried by D.O. and Operations Coordinator to verify sick status","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Limited Capacity","Must visit Surgeon to request; exception: pregnant members requesting position limited — no visit required","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"Admin Sick","UMOS-only (no CMOS); max 2 days; call D.O. at least 2 hours pre-tour; no Surgeon visit","Medical, Health and Wellness",key_terms 330_medical_health_wellness
"LIMB LSS MD","Mnemonic for when Admin Sick is NOT authorized: Line of duty, Injury, Mutual, Chronic B, Late, Stress, Supervisor deems inappropriate, Major illness, Dental","Medical, Health and Wellness",key_terms 330_medical_health_wellness
